timestamp,close,signal_max,signal_ma,signal_bb
1577750400000.0,7234.0,1,0,0
1577763600000.0,7219.99,1,0,0
1577787300000.0,7300.01,1,0,0
1577803800000.0,7216.98,1,0,0
1577806200000.0,7165.56,1,0,0
1577814900000.0,7187.94,1,0,0
1577830800000.0,7231.47,1,0,0
1577849100000.0,7225.06,1,0,0
1577877900000.0,7229.49,1,0,0
1577894400000.0,7201.78,1,0,0
1577919300000.0,7141.86,1,0,0
1577936700000.0,7114.3,1,0,0
1577949900000.0,7162.22,1,0,0
1577960400000.0,7127.24,1,0,0
1577973600000.0,7063.44,1,0,0
1577983800000.0,6973.37,1,0,0
1577985300000.0,6973.39,1,0,0
1577993400000.0,6951.46,1,0,0
1578011700000.0,6930.01,1,0,0
1578018300000.0,7012.85,1,1,0
1578025800000.0,7200.0,1,1,0
1578027000000.0,7197.0,1,1,0
1578031500000.0,7233.26,1,1,0
1578040800000.0,7308.0,1,1,0
1578042900000.0,7323.69,1,1,0
1578047100000.0,7341.39,1,1,0
1578054300000.0,7270.0,1,1,0
1578060600000.0,7294.0,1,1,0
1578067500000.0,7364.05,1,1,0
1578070200000.0,7344.61,1,1,0
1578077700000.0,7313.18,1,1,0
1578085800000.0,7321.24,1,1,0
1578094500000.0,7322.8,1,1,0
1578112200000.0,7350.0,1,1,0
1578127200000.0,7318.79,1,1,0
1578141300000.0,7296.91,1,1,0
1578156300000.0,7296.74,1,1,0
1578163800000.0,7337.92,1,1,0
1578169500000.0,7370.19,1,1,0
1578185100000.0,7449.55,1,1,0
1578188100000.0,7457.0,1,1,0
1578195600000.0,7453.66,1,1,0
1578208500000.0,7428.0,1,1,0
1578218400000.0,7438.17,1,1,0
1578231600000.0,7453.04,1,1,0
1578244200000.0,7390.47,1,1,0
1578260100000.0,7358.93,1,1,0
1578267300000.0,7479.58,1,1,0
1578276300000.0,7516.71,1,1,0
1578279300000.0,7524.59,1,1,0
1578282000000.0,7515.24,1,1,0
1578291900000.0,7541.44,1,1,0
1578305700000.0,7551.76,1,1,0
1578315300000.0,7520.23,1,1,0
1578319500000.0,7538.5,1,1,0
1578327900000.0,7547.79,1,1,0
1578344400000.0,7659.35,1,1,0
1578349500000.0,7737.99,1,1,0
1578351000000.0,7737.38,1,1,0
1578353400000.0,7833.16,1,1,0
1578355800000.0,7970.0,1,1,0
1578357300000.0,7890.22,1,1,0
1578358800000.0,7921.11,1,1,0
1578363600000.0,7876.7,1,1,0
1578371700000.0,7892.28,1,1,0
1578380700000.0,7878.0,1,1,0
1578391800000.0,7899.86,1,1,0
1578398400000.0,7837.93,1,1,0
1578402300000.0,7870.59,1,1,0
1578408600000.0,7767.26,1,1,0
1578412500000.0,7888.5,1,1,0
1578414600000.0,7906.47,1,1,0
1578417300000.0,7957.1,1,1,0
1578421200000.0,8082.69,1,1,0
1578422400000.0,8080.0,1,1,0
1578424800000.0,8108.52,1,1,0
1578429300000.0,8149.51,1,1,0
1578431700000.0,8042.67,1,1,0
1578434100000.0,8051.03,1,1,0
1578437100000.0,8177.47,1,1,0
1578441000000.0,8239.65,1,1,0
1578442500000.0,8337.94,1,1,0
1578444300000.0,8354.37,1,1,0
1578445500000.0,8383.38,1,1,0
1578447900000.0,8366.11,1,1,0
1578450900000.0,8264.32,1,1,0
1578453900000.0,8327.64,1,1,0
1578459000000.0,8338.74,1,1,0
1578465900000.0,8317.2,1,1,0
1578472500000.0,8339.0,1,1,0
1578479400000.0,8304.67,1,1,0
1578488100000.0,8385.23,1,1,0
1578490500000.0,8270.78,1,1,0
1578492900000.0,8291.6,1,1,0
1578496200000.0,8289.86,1,1,0
1578499500000.0,8232.25,1,1,0
1578501300000.0,8072.16,1,1,0
1578501900000.0,8094.41,1,1,0
1578503400000.0,8090.85,1,1,0
1578505500000.0,8049.86,1,1,1
1578511800000.0,7923.57,1,1,1
1578514200000.0,7999.32,1,1,0
1578516600000.0,8012.05,1,1,0
1578521100000.0,8046.65,1,1,0
1578527700000.0,7961.02,1,1,0
1578531600000.0,7974.9,1,1,0
1578541200000.0,7922.29,1,1,0
1578550500000.0,7945.35,1,1,0
1578558000000.0,7886.0,1,1,0
1578563700000.0,7874.22,1,0,0
1578569400000.0,7930.0,1,0,0
1578576000000.0,7908.69,1,0,0
1578584700000.0,7827.0,1,0,0
1578588900000.0,7802.88,1,0,0
1578593700000.0,7921.34,1,0,0
1578600000000.0,7821.6,1,0,0
1578603300000.0,7822.04,1,0,0
1578605700000.0,7825.61,1,0,0
1578613200000.0,7814.35,1,0,0
1578624900000.0,7748.25,1,0,0
1578636000000.0,7752.37,1,0,0
1578643200000.0,7730.32,1,0,0
1578648900000.0,7766.3,1,0,0
1578653400000.0,7827.3,1,0,0
1578656400000.0,7885.08,1,0,0
1578660600000.0,7903.05,1,0,0
1578664200000.0,7963.01,1,0,0
1578667200000.0,8042.45,1,0,0
1578669600000.0,8118.0,1,0,0
1578672300000.0,8015.34,1,0,0
1578673800000.0,7957.68,1,0,0
1578676500000.0,8043.48,1,0,0
1578679800000.0,8071.75,1,0,0
1578682200000.0,8026.14,1,0,0
1578684600000.0,8075.68,1,0,0
1578689700000.0,8055.28,1,0,0
1578693600000.0,8161.74,1,0,0
1578700200000.0,8177.01,1,0,0
1578704400000.0,8188.84,1,0,0
1578708900000.0,8135.33,1,0,0
1578716700000.0,8098.8,1,1,0
1578724200000.0,8057.67,1,1,0
1578730200000.0,8087.92,1,1,0
1578738600000.0,8059.34,1,1,0
1578745500000.0,8086.26,1,1,0
1578753900000.0,8135.58,1,1,0
1578760500000.0,8146.56,1,1,0
1578765900000.0,8210.35,1,1,0
1578778800000.0,8107.43,1,1,0
1578780000000.0,8060.31,1,1,0
1578784500000.0,8028.0,1,1,0
1578789300000.0,8088.76,1,1,0
1578800100000.0,8095.53,1,1,0
1578814500000.0,8126.64,1,1,0
1578825300000.0,8160.61,1,1,0
1578838200000.0,8105.96,1,1,0
1578848700000.0,8124.03,1,1,0
1578850500000.0,8145.75,1,1,0
1578860700000.0,8186.7,1,1,0
1578873600000.0,8102.0,1,1,0
1578886500000.0,8073.0,1,1,0
1578901200000.0,8080.0,1,1,0
1578916800000.0,8083.95,1,1,0
1578930900000.0,8141.33,1,1,0
1578948300000.0,8147.48,1,1,0
1578961800000.0,8286.97,1,1,0
1578963300000.0,8352.87,1,1,0
1578964800000.0,8427.37,1,1,0
1578966600000.0,8404.38,1,1,0
1578971100000.0,8536.79,1,1,0
1578974700000.0,8525.0,1,1,0
1578978600000.0,8527.2,1,1,0
1578985800000.0,8541.66,1,1,0
1578995100000.0,8531.0,1,1,0
1579002000000.0,8505.0,1,1,0
1579005600000.0,8537.65,1,1,0
1579008900000.0,8660.38,1,1,0
1579011600000.0,8674.78,1,1,0
1579012800000.0,8688.26,1,1,0
1579015500000.0,8565.62,1,1,0
1579017900000.0,8626.29,1,1,0
1579020300000.0,8715.22,1,1,0
1579021800000.0,8795.0,1,1,0
1579024200000.0,8816.36,1,1,0
1579026600000.0,8762.0,1,1,0
1579029000000.0,8692.52,1,1,0
1579035900000.0,8803.4,1,1,0
1579044300000.0,8749.21,1,1,0
1579046700000.0,8849.35,1,1,0
1579048800000.0,8792.65,1,1,0
1579052100000.0,8758.16,1,1,0
1579058700000.0,8636.84,1,1,0
1579062300000.0,8617.03,1,1,0
1579065300000.0,8685.54,1,1,0
1579071600000.0,8663.01,1,1,0
1579079100000.0,8742.86,1,1,0
1579083600000.0,8775.26,1,1,0
1579088400000.0,8771.69,1,1,0
1579093200000.0,8893.74,1,1,0
1579096800000.0,8813.01,1,1,0
1579098000000.0,8835.18,1,1,0
1579100700000.0,8787.88,1,1,0
1579103400000.0,8799.06,1,1,0
1579105200000.0,8791.34,1,1,0
1579110300000.0,8776.09,1,1,0
1579116300000.0,8834.6,1,1,0
1579122300000.0,8847.85,1,1,0
1579129800000.0,8760.51,1,1,0
1579134300000.0,8666.84,1,1,0
1579137900000.0,8668.5,1,1,0
1579141800000.0,8633.96,1,1,0
1579147500000.0,8703.04,1,1,0
1579155600000.0,8712.0,1,1,0
1579163100000.0,8631.03,1,1,0
1579169400000.0,8706.82,1,1,0
1579175100000.0,8745.0,1,1,0
1579178700000.0,8691.38,1,1,0
1579182900000.0,8695.0,1,1,0
1579189200000.0,8661.99,1,1,0
1579194300000.0,8702.17,1,1,0
1579202100000.0,8684.06,1,1,0
1579209900000.0,8703.52,1,1,0
1579221300000.0,8773.25,1,1,0
1579229700000.0,8808.33,1,0,0
1579233900000.0,8869.52,1,0,0
1579240200000.0,8955.5,1,0,0
1579242000000.0,8888.84,1,0,0
1579244700000.0,8984.99,1,0,0
1579248900000.0,8981.28,1,1,0
1579253400000.0,8946.78,1,1,0
1579256700000.0,8919.48,1,1,0
1579261800000.0,8849.26,1,1,0
1579264200000.0,8836.3,1,1,0
1579270200000.0,8839.34,1,1,0
1579275300000.0,8898.61,1,1,0
1579280100000.0,8903.25,1,1,0
1579286400000.0,8872.64,1,1,0
1579290900000.0,8919.13,1,1,0
1579298700000.0,8943.15,1,1,0
1579307100000.0,8925.6,0,1,0
1579313700000.0,8861.41,0,1,0
1579323000000.0,8864.88,0,1,0
1579331100000.0,8895.99,0,1,0
1579340100000.0,8898.38,0,1,0
1579350600000.0,8943.0,0,1,0
1579358700000.0,8923.0,0,1,0
1579364400000.0,8901.54,0,1,0
