timestamp,open,high,low,close,volume
2019-12-31,7240.8,7319,7141,7189,89203.437
2020-01-01,7189.43,7260.43,7170.15,7197.57,56801.329
2020-01-02,7197.57,7209.59,6922.0,6962.04,115295.677
2020-01-03,6962.34,7407.28,6863.44,7341.72,208493.458
2020-01-04,7341.6,7400.0,7269.21,7350.71,92586.033
2020-01-05,7350.54,7495.0,7303.0,7354.36,117765.972
2020-01-06,7354.36,7808.65,7345.0,7757.39,168150.317
2020-01-07,7757.74,8215.33,7733.0,8152.49,280809.162
2020-01-08,8150.9,8468.42,7870.11,8059.84,321225.114
2020-01-09,8059.77,8060.0,7750.01,7818.59,187263.143
2020-01-10,7817.91,8210.62,7670.0,8207.09,253783.948
2020-01-11,8207.2,8292.19,8003.87,8020.56,164741.715
2020-01-12,8020.58,8195.0,7956.28,8186.7,108629.964
2020-01-13,8186.22,8200.0,8053.78,8113.0,74581.364
2020-01-14,8112.99,8893.0,8109.02,8825.0,290777.981
2020-01-15,8825.0,8921.2,8570.52,8825.3,237633.837
2020-01-16,8825.35,8868.21,8596.25,8725.08,167958.963
2020-01-17,8724.99,9039.0,8680.0,8918.72,205717.686
2020-01-18,8918.73,8995.0,8816.0,8925.0,114708.682
2020-01-19,8925.0,9205.3,8440.91,8705.85,225314.525
2020-01-20,8705.98,8750.37,8526.06,8650.0,125161.675
2020-01-21,8650.0,8790.1,8448.6,8742.43,107577.153
2020-01-22,8742.78,8820.0,8585.85,8684.57,94305.496
2020-01-23,8684.47,8694.0,8326.0,8409.6,163407.064
2020-01-24,8410.0,8528.0,8247.0,8441.96,144785.391
2020-01-25,8442.82,8455.0,8272.0,8344.64,96961.714
2020-01-26,8344.37,8624.45,8300.0,8611.21,117898.916
2020-01-27,8611.21,9015.48,8565.0,8913.61,172235.328
2020-01-28,8913.61,9436.06,8905.0,9398.98,244467.546
2020-01-29,9399.72,9460.52,9242.0,9311.0,169460.643
2020-01-30,9311.23,9599.0,9210.42,9525.67,190137.536
2020-01-31,9525.67,9550.72,9220.0,9364.51,146644.026
2020-02-01,9364.5,9477.76,9306.0,9392.74,109040.285
2020-02-02,9392.99,9489.92,9160.01,9338.2,148402.977
2020-02-03,9340.49,9647.61,9250.0,9300.64,159049.385
2020-02-04,9300.63,9368.0,9105.0,9198.35,147843.902
2020-02-05,9198.32,9799.08,9179.88,9630.0,212311.697
2020-02-06,9630.0,9884.0,9550.0,9778.12,200556.367
2020-02-07,9777.97,9900.0,9736.66,9821.52,129740.767
2020-02-08,9821.52,9956.0,9680.55,9906.43,129267.269
2020-02-09,9906.09,10184.34,9892.15,10167.38,143407.013
2020-02-10,10167.37,10213.56,9750.0,9865.56,184242.737
2020-02-11,9865.56,10409.96,9729.36,10229.06,190119.815
2020-02-12,10230.74,10479.98,10229.71,10339.99,159674.258
2020-02-13,10339.64,10540.0,10101.0,10239.63,213052.717
2020-02-14,10240.02,10390.0,10123.37,10356.82,130975.746
2020-02-15,10356.27,10389.75,9752.3,9914.99,152146.127
2020-02-16,9914.31,10060.45,9626.64,9921.86,141547.956
2020-02-17,9921.87,9971.0,9461.89,9716.0,185338.179
2020-02-18,9716.0,10270.0,9598.0,10174.32,166119.369
2020-02-19,10174.53,10286.0,9293.07,9593.65,187495.927
2020-02-20,9593.31,9700.0,9382.59,9601.99,143105.587
2020-02-21,9601.51,9759.59,9547.0,9681.39,98954.288
2020-02-22,9681.39,9710.7,9565.0,9659.2,58419.547
2020-02-23,9658.95,10018.9,9657.0,9943.12,97134.358
2020-02-24,9943.12,10000.0,9487.38,9662.95,157965.671
2020-02-25,9662.88,9686.78,9247.0,9326.0,168641.725
2020-02-26,9326.0,9384.0,8610.0,8792.22,267005.172
2020-02-27,8793.96,8978.0,8533.9,8828.0,200638.488
2020-02-28,8827.12,8908.86,8450.0,8699.57,196066.11
2020-02-29,8699.86,8799.83,8530.0,8531.98,103524.685
2020-03-01,8532.5,8762.24,8409.0,8537.84,174332.916
2020-03-02,8537.84,8972.0,8504.95,8919.7,160294.484
2020-03-03,8919.7,8922.34,8657.41,8765.0,160123.605
2020-03-04,8765.0,8853.88,8669.23,8756.93,105462.12
2020-03-05,8755.98,9172.3,8755.98,9062.81,161840.623
2020-03-06,9062.62,9179.75,8994.14,9139.48,115011.583
2020-03-07,9139.77,9204.0,8850.0,8897.18,125804.999
2020-03-08,8895.62,8897.71,7997.7,8038.46,237407.028
2020-03-09,8038.99,8182.31,7635.21,7932.15,334399.107
2020-03-10,7932.45,8156.31,7733.0,7897.66,257068.702
2020-03-11,7898.21,7988.0,7593.29,7938.39,220537.381
2020-03-12,7938.39,7969.0,4347.0,4764.65,784747.02
2020-03-13,4762.28,5971.0,3621.81,5570.26,935489.242
2020-03-14,5569.84,5638.42,5040.0,5167.01,316242.586
2020-03-15,5167.21,5954.47,5089.12,5357.32,356311.765
2020-03-16,5354.81,5361.26,4413.62,5026.26,621555.792
2020-03-17,5027.11,5529.98,4913.49,5307.38,429908.098
2020-03-18,5306.42,5435.0,4982.75,5389.64,402005.703
2020-03-19,5389.94,6400.0,5246.5,6159.6,499391.19
2020-03-20,6159.41,6911.0,5650.0,6203.77,571898.016
2020-03-21,6204.47,6457.17,5854.01,6183.69,387679.649
2020-03-22,6183.84,6408.91,5730.35,5810.17,391002.795
2020-03-23,5810.3,6619.9,5670.0,6463.84,489746.087
2020-03-24,6463.21,6840.0,6369.0,6741.33,437968.553
2020-03-25,6740.86,6960.71,6436.26,6673.41,400684.542
2020-03-26,6673.57,6777.5,6500.0,6733.76,281245.628
2020-03-27,6733.76,6840.0,6230.0,6353.64,258213.519
2020-03-28,6353.64,6354.74,6004.0,6230.95,341944.185
2020-03-29,6231.81,6260.0,5857.6,5876.27,251335.919
