is_long,price,atr,volume,long_liquidations,short_liquidations,minute_of_session,target_meta_label,sma_trend_1h
1,87697.0,164.21428571428572,40.545262,0.101384,0.001108,245,0,1
1,85979.0,329.2857142857143,64.99070400000001,0.971588,0.160734,250,1,0
1,82756.0,240.5,27.808698,3.3309,0.0150019999999999,245,0,0
1,82067.0,399.7142857142857,186.358618,0.137886,0.08545,245,1,0
1,82539.0,469.85714285714283,146.47847,1.194908,1.54261,255,1,0
1,82448.0,117.42857142857143,12.126512,0.021906,0.0345659999999999,250,1,0
1,76540.0,738.1428571428571,176.848564,0.0,1.357516,255,1,0
1,81212.0,477.85714285714283,117.178222,0.075268,0.137986,255,0,0
1,83810.0,237.21428571428572,59.946428,0.002472,0.0770059999999999,255,1,0
1,84492.0,217.78571428571428,57.864102,10.23325,0.08682,250,1,0
1,84492.0,85.5,2.50088,0.212078,0.008872,255,0,0
1,93919.0,843.1428571428571,97.0464,0.0757,0.180592,255,0,1
1,94099.0,89.28571428571429,28.630678,0.006238,0.043382,245,1,0
1,94753.0,345.2857142857143,41.714316,0.019424,0.301286,250,0,0
1,95265.0,88.92857142857143,20.133908,0.216604,0.00441,255,1,0
1,93856.0,307.07142857142856,53.916276,0.8035,0.0311979999999999,250,1,0
1,104106.0,403.35714285714283,38.760534,0.137762,0.024658,255,1,0
1,102309.0,352.5,20.43388,0.005254,0.0216679999999999,250,1,0
1,104284.0,278.14285714285717,93.425846,0.003316,0.341928,255,1,0
1,111345.0,338.2857142857143,65.045604,0.144978,0.06268,245,1,0
1,105348.0,170.14285714285714,60.13547200000001,0.191914,0.191914,245,1,0
1,105364.0,233.71428571428572,40.11562,1.969252,1.969252,250,0,0
1,107458.0,309.92857142857144,58.351304000000006,6.928342000000001,6.928342000000001,250,1,0
1,109531.0,239.78571428571428,73.268164,0.212588,0.212588,245,0,0
1,109952.0,252.14285714285714,62.56472,1.693696,1.693696,245,1,1
1,105964.0,151.0,112.985172,2.899058,2.899058,245,0,0
1,105160.0,229.57142857142858,77.82201599999999,0.20405,0.20405,245,1,1
1,107096.0,60.785714285714285,21.389196,0.007448,0.007448,245,1,0
1,108117.0,65.07142857142857,14.41412,0.3201859999999999,0.3201859999999999,245,1,0
1,109061.0,155.92857142857142,202.855344,0.279084,0.279084,250,0,1
1,110729.0,185.71428571428572,118.258464,0.046042,0.046042,245,1,0
1,117717.0,293.2142857142857,77.818228,0.4035879999999999,0.4035879999999999,245,1,0
1,121620.0,267.85714285714283,193.447316,0.104922,0.104922,245,1,0
1,118175.0,55.142857142857146,36.61202,2.196844,2.196844,245,1,1
1,119310.0,210.71428571428572,64.13099600000001,3.168794,3.168794,245,1,0
1,118883.0,274.14285714285717,119.193724,0.093236,0.093236,245,0,1
1,118458.0,228.42857142857142,97.860864,0.361964,0.361964,245,1,1
1,112473.0,247.85714285714286,303.807184,0.2408,0.2408,250,1,1
1,114911.0,144.78571428571428,66.414316,0.317278,0.317278,245,1,0
1,111300.0,335.2857142857143,101.067372,0.271684,0.271684,245,1,0
1,113083.0,258.0,95.711288,0.14667,0.14667,245,0,0
1,112198.0,244.92857142857142,53.57391199999999,0.0301419999999999,0.0301419999999999,250,1,1
1,114988.0,218.42857142857142,14.607052,0.030136,0.030136,250,1,0
1,115283.0,178.21428571428572,26.9681,0.21753,0.21753,250,1,0
1,114557.0,312.57142857142856,122.7952,4.873282,4.873282,255,1,0
1,116054.0,218.21428571428572,73.27454,0.04947,0.04947,255,0,0
1,112567.0,183.57142857142858,92.052408,0.027082,0.027082,250,1,0
1,110843.0,484.7857142857143,185.64144,0.2364939999999999,0.2364939999999999,255,1,0
1,109307.0,40.57142857142857,15.673787999999998,0.0058119999999999,0.0058119999999999,245,1,0
1,124655.0,421.2857142857143,162.837952,0.620968,0.620968,255,1,0
1,122233.0,496.35714285714283,200.48678,2.076138,2.076138,255,1,0
1,123006.0,466.85714285714283,97.40138,5.7573,5.7573,255,0,0
1,112132.0,289.2857142857143,28.52026,0.121692,0.121692,250,0,0
1,106836.0,114.57142857142857,14.63802,0.007222,0.007222,250,1,0
1,108416.0,308.2857142857143,499.164512,1.138664,1.138664,245,1,1
1,114922.0,265.2857142857143,158.450268,0.087018,0.087018,250,1,0
1,113004.0,297.57142857142856,42.169184,0.102766,0.102766,250,0,0
1,107822.0,541.7142857142857,238.603824,1.480016,1.480016,255,0,0
1,109777.0,327.42857142857144,94.060976,0.01801,0.01801,245,1,0
1,109903.0,126.42857142857143,6.43774,0.029718,0.029718,255,1,0
1,102386.0,335.92857142857144,78.659644,0.09833,0.09833,245,1,0
1,95353.0,208.35714285714286,42.15158,0.002672,0.002672,255,1,0
1,91185.0,204.85714285714286,62.895096,0.39376,0.39376,250,1,0
1,91475.0,252.42857142857142,34.605452,0.245954,0.245954,250,1,0
1,91722.0,484.57142857142856,128.886472,0.085416,0.085416,255,0,0
1,87016.0,271.57142857142856,337.107996,0.0304759999999999,0.0304759999999999,255,1,0
1,90503.0,322.57142857142856,227.251336,2.287972,2.287972,255,1,0
1,90264.0,235.42857142857142,70.496056,0.15592,0.15592,255,1,0
1,90018.0,143.57142857142858,60.816892,0.03698,0.03698,245,1,0
1,89430.0,102.14285714285714,15.416552,0.01373,0.01373,250,1,0
1,87051.0,549.5714285714286,185.3552,2.6243,2.6243,245,1,0
1,87888.0,268.14285714285717,19.447936,0.002882,0.002882,250,1,0
1,89846.0,167.28571428571428,112.094788,0.00086,0.00086,255,1,0
1,87691.0,275.57142857142856,51.38444,0.335054,0.335054,250,1,0
1,87186.0,145.71428571428572,40.63486,0.004774,0.004774,245,1,0
1,87423.0,52.285714285714285,1.389448,0.0658359999999999,0.0658359999999999,245,1,1
1,93681.0,71.78571428571429,12.479444,0.096312,0.096312,250,1,0
1,90807.0,31.785714285714285,3.82162,0.016654,0.016654,255,1,0
1,96717.0,169.14285714285714,18.372904,0.140772,0.140772,245,1,0
1,95425.0,104.5,36.728952,0.160628,0.160628,250,1,0
1,89601.0,303.5,100.017796,0.260216,0.260216,255,0,0
1,88063.0,67.71428571428571,1.784396,0.120544,0.120544,250,0,1
