is_long,price,atr,volume,long_liquidations,short_liquidations,minute_of_session,trvo_relative_volume,trvo_buy_pressure,trvo_oscillator,target_high_tp,sma_trend_1h
1,87697.0,164.21428571428572,40.545262,0.101384,0.001108,245,1.9518795908529931,0.7185501066098081,-0.06905474913167309,0,1
1,85979.0,329.2857142857143,64.99070400000001,0.971588,0.160734,250,3.418638495020015,1.0,-0.04838646469275971,1,0
1,82756.0,240.5,27.808698,3.3309,0.0150019999999999,245,0.6855670426715985,0.4625,-0.07375166923136107,0,0
1,82067.0,399.7142857142857,186.358618,0.137886,0.08545,245,5.407590734001156,0.5604938271604938,-0.04173248467979447,1,0
1,82539.0,469.85714285714283,146.47847,1.194908,1.54261,255,1.5843981347677878,0.47666195190947663,-0.08491716611072561,1,0
1,82448.0,117.42857142857143,12.126512,0.021906,0.0345659999999999,250,0.18771743966844243,0.546875,-0.06132723159210619,0,0
1,76540.0,738.1428571428571,176.848564,0.0,1.357516,255,1.8079902018028566,0.7935684647302904,-0.04006884541480884,1,0
1,81212.0,477.85714285714283,117.178222,0.075268,0.137986,255,1.275498500471908,0.7850877192982456,-0.041780166985799845,0,0
1,83810.0,237.21428571428572,59.946428,0.002472,0.0770059999999999,255,0.644801593268629,0.6481481481481481,-0.007286209319587825,1,0
1,84492.0,217.78571428571428,57.864102,10.23325,0.08682,250,0.5253828040373415,0.6970684039087948,-0.03920746896490626,0,0
1,84492.0,85.5,2.50088,0.212078,0.008872,255,0.03752266434162689,0.9178082191780823,-0.03808219428977722,0,0
1,93919.0,843.1428571428571,97.0464,0.0757,0.180592,255,2.3780479288161733,0.8556149732620321,-0.11678000975696241,0,1
1,94099.0,89.28571428571429,28.630678,0.006238,0.043382,245,0.3149545573028554,0.9943502824858756,-0.058129053121335476,0,0
1,94753.0,345.2857142857143,41.714316,0.019424,0.301286,250,0.7049777104075672,0.8032128514056224,-0.15582507957530856,0,0
1,95265.0,88.92857142857143,20.133908,0.216604,0.00441,255,0.4557978950208935,0.7166666666666667,-0.015652282116550002,1,0
1,93856.0,307.07142857142856,53.916276,0.8035,0.0311979999999999,250,1.0956730484140074,0.7217391304347825,-0.05400371951266221,0,0
1,104106.0,403.35714285714283,38.760534,0.137762,0.024658,255,1.1831761266186143,1.0,-0.09609370661490649,0,0
1,102309.0,352.5,20.43388,0.005254,0.0216679999999999,250,0.8331090930024949,0.9218106995884774,-0.1529836467731601,1,0
1,104284.0,278.14285714285717,93.425846,0.003316,0.341928,255,3.4968707173780755,0.7465753424657535,0.06945238464938709,1,0
1,111345.0,338.2857142857143,65.045604,0.144978,0.06268,245,1.2106036617382367,0.8014184397163121,0.015658892140686092,0,0
1,105348.0,170.14285714285714,60.13547200000001,0.191914,0.191914,245,0.9282090128873948,0.9178082191780822,-0.01664264569907515,1,0
1,105364.0,233.71428571428572,40.11562,1.969252,1.969252,250,0.5801939050426071,0.48514851485148514,-0.10404866894875998,0,0
1,107458.0,309.92857142857144,58.351304000000006,6.928342000000001,6.928342000000001,250,0.7897643343557467,0.7839195979899498,-0.024829210966621322,0,0
1,109531.0,239.78571428571428,73.268164,0.212588,0.212588,245,1.2650988854867746,0.7679558011049724,-0.1019988530120593,0,0
1,109952.0,252.14285714285714,62.56472,1.693696,1.693696,245,0.9123134593879655,0.9071146245059288,-0.05774677412853576,0,1
1,105964.0,151.0,112.985172,2.899058,2.899058,245,3.670916521370267,0.8546099290780143,-0.015267645549963873,0,0
1,105160.0,229.57142857142858,77.82201599999999,0.20405,0.20405,245,0.49546190005815716,0.8373983739837398,-0.11363430291932877,1,1
1,107096.0,60.785714285714285,21.389196,0.007448,0.007448,245,0.1412025249342401,1.0,-0.08675304398788358,1,0
1,108117.0,65.07142857142857,14.41412,0.3201859999999999,0.3201859999999999,245,0.23978217964900045,1.0,-0.10535938335495504,0,0
1,109061.0,155.92857142857142,202.855344,0.279084,0.279084,250,2.7171775695089337,0.9488888888888888,-0.08551553294061731,0,1
1,110729.0,185.71428571428572,118.258464,0.046042,0.046042,245,2.0290467087837833,0.507177033492823,-0.031629364417862446,1,0
1,117717.0,293.2142857142857,77.818228,0.4035879999999999,0.4035879999999999,245,1.58197824317702,0.5975903614457831,-0.028781458649967222,0,0
1,121620.0,267.85714285714283,193.447316,0.104922,0.104922,245,3.2312594983421046,0.832258064516129,-0.0582405105319183,0,0
1,118175.0,55.142857142857146,36.61202,2.196844,2.196844,245,0.4385465063630653,0.7692307692307692,-0.09567599572486926,1,1
1,119310.0,210.71428571428572,64.13099600000001,3.168794,3.168794,245,1.444658846772712,0.9571865443425077,0.009463738522186455,0,0
1,118883.0,274.14285714285717,119.193724,0.093236,0.093236,245,2.0354547064427755,0.9885496183206106,-0.050601714059070456,0,1
1,118458.0,228.42857142857142,97.860864,0.361964,0.361964,245,1.9343223059047785,0.9780033840947546,-0.07052299884876777,0,1
1,112473.0,247.85714285714286,303.807184,0.2408,0.2408,250,5.862348594791477,0.7433380084151472,-0.01958116558345541,1,1
1,114911.0,144.78571428571428,66.414316,0.317278,0.317278,245,0.9382348563746339,0.9627329192546584,-0.04994417346008748,0,0
1,111300.0,335.2857142857143,101.067372,0.271684,0.271684,245,0.7969935950130335,0.2843601895734597,-0.10436299417303799,1,0
1,113083.0,258.0,95.711288,0.14667,0.14667,245,0.669645075161768,0.6024590163934427,-0.14221954249624036,0,0
1,112198.0,244.92857142857142,53.57391199999999,0.0301419999999999,0.0301419999999999,250,0.41702996645539764,0.7905027932960894,-0.0447383240241999,0,1
1,114988.0,218.42857142857142,14.607052,0.030136,0.030136,250,0.20920575768707755,0.6951219512195123,0.0019450505791505524,1,0
1,115283.0,178.21428571428572,26.9681,0.21753,0.21753,250,0.38054506773483293,0.47200000000000003,-0.052572963809401324,0,0
1,114557.0,312.57142857142856,122.7952,4.873282,4.873282,255,1.837565105920315,0.303921568627451,-0.1353420737254985,0,0
1,116054.0,218.21428571428572,73.27454,0.04947,0.04947,255,0.8967582368673915,0.9906976744186047,-0.07194020185131897,0,0
