time,open,high,low,close,volume,long_liquidations,short_liquidations
2025-03-22 10:30:00,84352.0,84403.0,84351.0,84385.0,30.18347,0.0,0.18561
2025-03-22 11:00:00,84385.0,84403.0,84252.0,84304.0,42.27386,0.0014199999999999,0.43471999999999994
2025-03-22 11:30:00,84303.0,84304.0,84180.0,84208.0,51.2418,0.00988,0.0072799999999997
2025-03-22 12:00:00,84209.0,84275.0,84177.0,84196.0,95.95354,9.97937,0.0072799999999996
2025-03-22 12:30:00,84197.0,84227.0,84140.0,84195.0,326.15862,91.72092,0.0420499999999999
2025-03-22 13:00:00,84195.0,84201.0,84031.0,84050.0,205.04491000000002,0.009309999999999999,0.0636099999999999
2025-03-22 13:30:00,84050.0,84149.0,84017.0,84136.0,100.65008999999999,0.0,0.08435
2025-03-22 14:00:00,84136.0,84160.0,84058.0,84082.0,198.34829000000002,0.0,0.03925
2025-03-22 14:30:00,84082.0,84083.0,83963.0,83968.0,270.77353999999997,23.64149,0.0755699999999999
2025-03-22 15:00:00,83967.0,84059.0,83932.0,83978.0,273.54974,5.29247,0.0858
2025-03-22 15:30:00,83978.0,84100.0,83953.0,84086.0,103.18697,0.01134,0.15828
2025-03-22 16:00:00,84087.0,84115.0,84030.0,84095.0,73.96886,0.01261,0.03473
2025-03-22 16:30:00,84096.0,84117.0,84056.0,84101.0,97.48345,0.0124699999999999,0.0426099999999999
2025-03-22 17:00:00,84102.0,84158.0,84086.0,84150.0,59.363150000000005,0.01234,0.8940499999999999
2025-03-22 17:30:00,84149.0,84235.0,84122.0,84220.0,123.16031,0.01241,1.3222199999999997
2025-03-22 18:00:00,84220.0,84280.0,84153.0,84155.0,366.03945999999996,0.012379999999999999,1.32395
2025-03-22 18:30:00,84156.0,84321.0,84148.0,84213.0,353.43178,0.012459999999999999,16.99503
2025-03-22 19:00:00,84213.0,84230.0,84172.0,84189.0,145.40266,0.01239,9.78001
2025-03-22 19:30:00,84190.0,84234.0,84126.0,84136.0,125.06545000000001,0.01241,0.12240999999999991
2025-03-22 20:00:00,84136.0,84172.0,84111.0,84130.0,76.33507,0.5579999999999999,0.1348699999999999
2025-03-22 20:30:00,84129.0,84167.0,83894.0,83895.0,469.92095,10.53475,0.68344
2025-03-22 21:00:00,83894.0,84051.0,83806.0,83991.0,452.81525,4.56457,2.66177
2025-03-22 21:30:00,83990.0,84025.0,83928.0,83976.0,52.08842,1.1800199999999998,0.57237
2025-03-22 22:00:00,83976.0,84030.0,83950.0,83971.0,219.52467000000001,0.12484,0.57233
2025-03-22 22:30:00,83971.0,83992.0,83916.0,83917.0,25.079729999999998,0.1248299999999998,0.57237
2025-03-22 23:00:00,83917.0,83918.0,83800.0,83881.0,98.96122,0.1262799999999999,0.57231
2025-03-22 23:30:00,83880.0,83880.0,83614.0,83804.0,251.24589,15.42168,0.57235
2025-03-23 00:00:00,83804.0,84010.0,83767.0,83949.0,355.48015999999996,0.66503,0.58302
2025-03-23 00:30:00,83949.0,84016.0,83919.0,83965.0,89.03277,0.17443,0.57242
2025-03-23 01:00:00,83966.0,84105.0,83929.0,84086.0,105.43534,0.01997,6.2813300000000005
2025-03-23 01:30:00,84085.0,84085.0,83984.0,84017.0,139.59879,1.01982,3.979
2025-03-23 02:00:00,84017.0,84081.0,83944.0,84073.0,76.25642,0.0198,3.5889300000000004
2025-03-23 02:30:00,84073.0,84248.0,84072.0,84196.0,193.8732,2.18788,36.7734
2025-03-23 03:00:00,84196.0,84197.0,84106.0,84148.0,107.22722999999999,0.0199099999999999,10.792530000000001
2025-03-23 03:30:00,84149.0,84202.0,84111.0,84185.0,43.61375,1.65851,8.63449
2025-03-23 04:00:00,84186.0,84195.0,84008.0,84055.0,463.52008,10.37435,1.03043
2025-03-23 04:30:00,84055.0,84070.0,84033.0,84054.0,29.66505,0.0197899999999999,1.61936
2025-03-23 05:00:00,84054.0,84098.0,84053.0,84069.0,13.59948,0.01982,0.24043
2025-03-23 05:30:00,84069.0,84186.0,84068.0,84175.0,54.70237,1.98868,1.53508
2025-03-23 06:00:00,84175.0,84218.0,84138.0,84192.0,63.152409999999996,3.05112,8.67172
2025-03-23 06:30:00,84193.0,84248.0,84178.0,84189.0,88.17247,0.03672,3.8454
2025-03-23 07:00:00,84188.0,84202.0,84156.0,84202.0,80.79281999999999,0.065,5.60933
2025-03-23 07:30:00,84202.0,84277.0,84202.0,84235.0,87.87168,0.01981,8.58611
2025-03-23 08:00:00,84235.0,84280.0,84213.0,84250.0,52.583510000000004,0.01984,22.836570000000002
2025-03-23 08:30:00,84250.0,84334.0,84250.0,84314.0,438.77937000000003,0.01993,2.835
2025-03-23 09:00:00,84314.0,84315.0,84262.0,84297.0,215.26924,0.01983,18.457819999999998
2025-03-23 09:30:00,84297.0,84307.0,84268.0,84276.0,90.71661,0.5643199999999999,6.96471
2025-03-23 10:00:00,84276.0,84305.0,84275.0,84302.0,43.07512,1.97809,1.95805
2025-03-23 10:30:00,84301.0,84472.0,84301.0,84425.0,147.16317999999998,1.5476,1.38104
2025-03-23 11:00:00,84425.0,84980.0,84425.0,84870.0,708.2484099999999,0.84819,0.20096
2025-03-23 11:30:00,84870.0,84870.0,84564.0,84643.0,208.69198,1.4156499999999999,1.1223400000000001
2025-03-23 12:00:00,84643.0,84721.0,84523.0,84665.0,155.97741000000002,1.2002899999999999,1.11904
2025-03-23 12:30:00,84665.0,84781.0,84655.0,84679.0,152.02871,0.03902,1.64089
2025-03-23 13:00:00,84680.0,84944.0,84596.0,84924.0,335.72591,1.3660299999999999,5.35057
2025-03-23 13:30:00,84923.0,85068.0,84795.0,85037.0,332.49179000000004,0.37980999999999987,5.41325
2025-03-23 14:00:00,85037.0,85164.0,84810.0,84856.0,433.21791,2.08405,8.01751
2025-03-23 14:30:00,84849.0,85076.0,84834.0,84866.0,291.37833,3.0384399999999996,2.62815
