time,open,high,low,close,volume,long_liquidations,short_liquidations
2025-03-22 08:00:00,84352.0,84403.0,84180.0,84208.0,123.69913,0.0112999999999999,0.6276099999999996
2025-03-22 12:00:00,84209.0,84275.0,83932.0,84086.0,1573.6657,130.6549,0.5561899999999993
2025-03-22 16:00:00,84087.0,84321.0,84030.0,84136.0,1343.9151200000001,0.09946999999999989,30.51501
2025-03-22 20:00:00,84136.0,84172.0,83614.0,83804.0,1645.9712,32.63497,6.34181
2025-03-23 00:00:00,83804.0,84248.0,83767.0,84185.0,1110.51766,5.76535,71.20512000000001
2025-03-23 04:00:00,84186.0,84277.0,84008.0,84235.0,881.47636,15.57529,31.13786
2025-03-23 08:00:00,84235.0,84980.0,84213.0,84643.0,1904.52742,6.41345,55.75649
2025-03-23 12:00:00,84643.0,85220.0,84523.0,85148.0,2230.55501,13.57638,34.19404
2025-03-23 16:00:00,85147.0,85361.0,84747.0,84961.0,2647.55696,17.92486,18.32989
2025-03-23 20:00:00,84961.0,86070.0,84889.0,86036.0,3724.7943800000003,21.65439,38.15835
2025-03-24 00:00:00,86036.0,86630.0,85464.0,86514.0,5298.51583,39.59615,61.28272
2025-03-24 04:00:00,86514.0,87256.0,86514.0,86821.0,2842.35299,80.19247,34.95977
2025-03-24 08:00:00,86821.0,87848.0,86813.0,87652.0,3092.05909,38.90514,264.71031
2025-03-24 12:00:00,87653.0,88737.0,87149.0,88308.0,8879.43007,164.09986,383.73883
2025-03-24 16:00:00,88308.0,88500.0,87654.0,88200.0,4970.8354,9.658489999999999,94.11399
2025-03-24 20:00:00,88201.0,88425.0,87000.0,87472.0,4514.71888,281.85323,22.659039999999997
2025-03-25 00:00:00,87472.0,87642.0,86293.0,86478.0,3980.54787,19.17639,83.51424
2025-03-25 04:00:00,86473.0,86834.0,86280.0,86404.0,1715.50792,14.811580000000001,23.771369999999997
2025-03-25 08:00:00,86404.0,87472.0,86366.0,87348.0,2146.8805899999998,1.6655899999999997,29.18686
2025-03-25 12:00:00,87349.0,88216.0,86892.0,87720.0,6142.53049,168.69864,57.14917
2025-03-25 16:00:00,87720.0,88284.0,87500.0,88045.0,3328.58084,44.17018,19.0372
2025-03-25 20:00:00,88043.0,88561.0,87078.0,87367.0,4527.48306,102.83096,49.30899
2025-03-26 00:00:00,87367.0,87850.0,86984.0,87103.0,2496.23628,28.44706,45.81437
