timestamp,open,high,low,close,volume
1640995200194,46210.57,46530.99,46210.55,46407.48,2155.559
1640995703220,46407.49,46424.41,46239.0,46375.38,2158.408
1640997149158,46375.37,46698.15,46370.78,46650.02,2148.239
1640997757887,46654.43,46729.73,46567.49,46679.37,2142.338
1640998451774,46679.19,46788.46,46570.34,46788.46,2140.621
1640999764789,46788.51,46944.56,46781.91,46857.14,2136.041
1641000313607,46857.15,46868.0,46725.69,46750.31,2135.641
1641001434375,46750.31,46858.42,46705.87,46835.24,2138.965
1641003121127,46835.33,46917.87,46735.1,46735.1,2134.158
1641004610351,46735.0,46850.0,46709.44,46809.04,2137.342
1641006714795,46809.04,46888.0,46762.17,46835.02,2135.4519999999998
1641008504039,46835.01,46886.0,46752.27,46760.01,2135.228
1641010440611,46760.0,46760.0,46605.0,46674.05,2144.267
1641010957839,46675.0,46774.09,46625.0,46770.0,2140.851
1641012569835,46770.0,46828.41,46657.99,46762.5,2140.6
1641014170326,46762.88,47114.36,46754.14,47095.43,2129.711
1641014585247,47095.4,47400.0,47088.12,47367.56,2117.003
1641014693220,47367.55,47491.0,47350.0,47464.08,2109.598
1641014850094,47464.07,47566.66,47362.4,47464.42,2107.269
1641015125297,47465.36,47514.2,47303.91,47304.9,2107.607
1641015718452,47304.89,47326.02,47166.69,47215.17,2116.803
1641016334071,47215.43,47312.82,47073.35,47101.01,2119.477
1641017117763,47101.0,47314.4,47100.03,47166.92,2117.696
1641018211485,47166.93,47230.29,47094.0,47094.2,2120.102
1641019652241,47094.18,47099.0,46932.38,46951.49,2127.021
1641020375346,46954.99,47036.64,46867.0,46944.76,2130.064
1641021017422,46945.15,47108.5,46920.81,47106.66,2126.75
1641022910465,47106.53,47247.44,47054.0,47236.29,2120.733
1641023965478,47235.94,47250.0,47060.74,47208.84,2121.641
1641024930351,47208.17,47338.0,47200.41,47240.84,2116.373
1641026003618,47240.83,47260.61,47080.02,47111.45,2119.592
1641027573932,47111.46,47200.0,47053.91,47109.98,2122.006
1641029536738,47109.98,47118.99,46920.02,46952.52,2128.282
