timestamp,open,high,low,close,volume,dollar_volume
2023-01-01 00:00:04.118,16537.5,16540.9,16504.0,16538.5,6051.629000000236,100002392.48059978
2023-01-01 01:10:17.485,16538.5,16557.1,16519.5,16522.3,6049.028000000187,100048694.17850019
2023-01-01 03:05:26.072,16522.4,16532.3,16508.8,16510.0,6054.127000000411,100014716.58500013
2023-01-01 05:10:45.821,16510.1,16545.7,16508.0,16521.8,6053.281000000366,100042369.37599996
2023-01-01 07:06:36.843,16521.9,16530.3,16488.0,16500.0,6060.625000000138,100045384.48599952
2023-01-01 07:35:17.939,16501.2,16524.9,16495.1,16502.5,6057.849000000321,100022350.97450066
2023-01-01 09:10:29.916,16502.5,16540.3,16501.6,16531.0,6050.699000000189,100001453.67260021
2023-01-01 10:37:08.058,16531.0,16556.0,16528.8,16548.5,6045.605000000165,100011371.75980055
2023-01-01 12:06:57.351,16548.3,16565.9,16540.9,16540.9,6043.540000000221,100039854.45899989
2023-01-01 13:17:01.483,16540.8,16549.7,16530.5,16538.9,6047.690000000452,100024048.47549893
2023-01-01 15:21:22.384,16538.8,16579.0,16524.6,16562.8,6045.217000000134,100065284.11299953
2023-01-01 16:18:02.074,16562.8,16579.9,16552.7,16578.9,6037.72900000022,100022833.71280067
2023-01-01 17:24:12.225,16578.9,16597.0,16566.4,16590.1,6031.254000000138,100008438.71550074
2023-01-01 18:10:12.491,16590.0,16613.0,16578.8,16604.8,6026.8080000000955,100007966.56809975
2023-01-01 19:19:53.240,16604.7,16615.8,16584.8,16611.5,6023.62800000018,100014438.80520037
2023-01-01 20:24:08.513,16611.4,16618.8,16584.1,16599.0,6024.192000000274,100001662.27819832
2023-01-01 21:55:12.032,16598.9,16617.4,16579.1,16610.7,6033.319000000147,100140425.6158996
2023-01-01 23:21:37.048,16610.6,16618.4,16580.0,16584.2,6024.562000000148,100026724.96790072
2023-01-02 00:28:26.965,16584.2,16589.4,16550.0,16550.0,6052.108000000125,100275056.38080038
2023-01-02 01:08:03.781,16549.9,16566.9,16541.2,16555.0,6045.064000000194,100069995.38649958
2023-01-02 02:00:11.458,16555.0,16604.1,16547.5,16598.8,6037.71800000026,100099543.99059948
2023-01-02 03:42:42.939,16598.7,16683.7,16594.7,16682.5,6010.824000000002,100023427.02899973
2023-01-02 03:53:45.176,16682.4,16700.7,16663.1,16687.8,6100.65100000009,101776901.3269999
2023-01-02 03:55:06.746,16687.9,16687.9,16640.2,16640.3,6003.223000000104,100015211.95069984
2023-01-02 04:10:14.518,16640.2,16643.7,16621.8,16631.7,6012.347000000231,100001983.64209956
2023-01-02 05:06:21.548,16631.6,16653.8,16612.8,16640.2,6017.396000000168,100076013.37959988
2023-01-02 05:56:59.618,16640.2,16671.5,16627.8,16669.0,6009.868000000202,100008660.82989953
2023-01-02 07:14:34.658,16668.5,16750.0,16667.8,16749.0,5988.696000000043,100004651.19064
