timestamp,open,high,low,close,volume,dollar_volume,close_fd,rolling_max,rolling_min,prev_max,prev_min,signal,label,vol,dist_max,dist_min
2020-04-30 07:10:48.837,9297.07,9320.0,9175.0,9175.0,10817.152000000242,100049738.08814996,877.3035926285793,9355.22,9175.0,9355.22,9272.04,-1,0,0.010035899351232004,-0.01964250681198903,-0.010576566757493282
2020-04-30 07:18:05.593,9177.79,9220.0,9036.08,9036.08,10968.809000000088,100108119.07033962,775.5130131944006,9355.22,9036.08,9355.22,9175.0,-1,0,0.010035899351232004,-0.03531841240892062,-0.015373923205637852
2020-04-30 09:05:17.930,9050.0,9064.07,8863.0,8877.47,11146.528000000162,100006185.31345016,682.2581229717234,9355.22,8863.0,9355.22,9020.0,-1,0,0.010035899351232004,-0.05381600838977772,-0.01605524997549985
2020-04-30 09:11:10.392,8966.81,8997.9,8800.0,8835.2,11222.518000000142,100001706.3836898,700.1788981351947,9355.22,8800.0,9355.22,8857.0,-1,0,0.010035899351232004,-0.05885775081492197,-0.002467403114813391
2020-04-30 09:44:18.954,8887.79,8890.0,8755.0,8764.9,11330.485000000212,100007912.3254903,674.3742168082163,9355.22,8755.0,9355.22,8800.0,-1,0,0.010035899351232004,-0.06735045465435997,-0.004004609293888164
2020-04-30 09:51:40.672,8765.84,8831.05,8702.0,8707.52,11400.512000000328,100003242.81439029,661.8242288186475,9355.22,8702.0,9355.22,8755.0,-1,1,0.010035899351232004,-0.07438398074308171,-0.005452758075778128
2020-04-30 09:58:14.091,8707.9,8739.41,8569.29,8570.0,11575.89500000006,100268038.96501017,559.596459225434,9355.22,8569.29,9355.22,8702.0,-1,1,0.010035899351232004,-0.09162427071178522,-0.015402567094515752
2020-04-30 17:22:26.325,8619.8,8661.8,8536.29,8536.87,11636.391000000283,100079718.27191997,613.6088292555442,9355.22,8536.29,9355.22,8548.9,-1,1,0.010035899351232004,-0.0958606608745358,-0.0014091815852881483
2020-04-30 17:41:22.929,8537.68,8546.89,8411.0,8436.77,11794.748000000143,100016824.6494505,564.3440963067624,9355.22,8411.0,9355.22,8450.0,-1,1,0.010035899351232004,-0.10886275197735613,-0.0015681356727751928
2020-05-07 13:06:17.320,9351.77,9470.0,9341.05,9442.55,10635.762000000264,100002840.12533008,1019.7545027689848,9470.0,8400.0,9409.78,8400.0,1,1,0.011382038223695904,0.003470460839497659,0.110409793964554
2020-05-07 13:21:14.672,9469.13,9606.93,9466.22,9599.0,10494.762000000144,100003792.60795,1123.3601672288878,9606.93,8400.0,9489.01,8400.0,1,1,0.012801509215081101,0.01145848525888111,0.12490884467131994
2020-05-07 16:57:16.931,9610.58,9687.36,9595.64,9666.6,10361.21800000028,100000061.55301024,1058.7901869710895,9687.36,8400.0,9650.0,8400.0,1,1,0.017361251218548188,0.0017172532224360543,0.1310284898516542
2020-05-07 17:08:05.745,9681.59,9775.0,9681.59,9733.08,10278.090000000177,100010387.26311988,1084.127938261201,9775.0,8400.0,9717.93,8400.0,1,0,0.01878661011037678,0.0015565473621915813,0.13696383878484508
2020-05-07 17:17:41.550,9717.88,9808.88,9701.37,9784.5,10262.144000000291,100003192.78213988,1102.2446939443726,9808.88,8400.0,9775.0,8400.0,1,0,0.020318516568654733,0.000970923399253922,0.14149931013337422
2020-05-07 17:29:25.877,9764.69,9864.0,9718.3,9860.0,10223.597000000296,100017103.01982014,1142.9349276504836,9864.0,8400.0,9818.44,8400.0,1,0,0.02210541332411166,0.004215010141987778,0.14807302231237324
2020-05-07 19:34:15.200,9893.02,9965.0,9891.84,9917.12,10074.443000000325,100061501.42288975,1101.0097540338593,9965.0,8400.0,9899.52,8400.0,1,0,0.027586952694188843,0.001774708786421901,0.15297989738956477
2020-05-07 23:15:06.801,9900.59,9998.0,9890.7,9969.34,10058.581000000077,100008746.6661202,1111.9513772043993,9998.0,8400.0,9965.0,8400.0,1,0,0.03022576569643956,0.000435334736301515,0.15741663941645084
2020-05-10 00:20:07.268,8528.49,8540.27,7940.0,7969.86,12039.352000000332,100008761.88715032,-275.32926714197947,10080.0,7940.0,10080.0,8400.0,-1,1,0.05791742631570889,-0.2647650021455835,-0.053970835121319616
2020-05-24 23:33:25.383,8850.01,8871.5,8674.0,8706.78,11401.905000000046,100005112.59110028,422.37823443335947,9958.67,8674.0,9958.67,8812.2,-1,1,0.023277975487496085,-0.14378335044643362,-0.012107805641121065
2020-05-24 23:39:54.388,8758.45,8785.88,8646.5,8648.77,11444.75200000036,100020398.32429948,435.1263938691045,9958.67,8646.5,9958.67,8674.0,-1,1,0.024047641315621246,-0.1514550623961557,-0.0029171778183486857
