open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1643673600000,-0.00062150,0.00011166,-0.00169549,-0.00050616,0,1643677199999,0,720,0,0,0
1643677200000,-0.00036019,0.00015442,-0.00099205,-0.00027009,0,1643680799999,0,720,0,0,0
1643680800000,-0.00034752,0.00019083,-0.00079922,-0.00056692,0,1643684399999,0,720,0,0,0
1643684400000,-0.00055334,0,-0.00091198,-0.00063293,0,1643687999999,0,720,0,0,0
1643688000000,-0.00069104,-0.00012461,-0.00114291,-0.00033271,0,1643691599999,0,720,0,0,0
1643691600000,-0.00028913,0.00001517,-0.00141746,-0.00044735,0,1643695199999,0,720,0,0,0
1643695200000,-0.00043466,0.00027599,-0.00113236,-0.00025135,0,1643698799999,0,720,0,0,0
1643698800000,-0.00038085,0.00024730,-0.00085298,-0.00036733,0,1643702399999,0,720,0,0,0
1643702400000,-0.00044698,0.00015758,-0.00077300,-0.00041102,0,1643705999999,0,720,0,0,0
1643706000000,-0.00030998,0.00153716,-0.00254308,-0.00034286,0,1643709599999,0,720,0,0,0
1643709600000,-0.00033609,0.00029558,-0.00135140,-0.00056390,0,1643713199999,0,720,0,0,0
1643713200000,-0.00052270,-0.00001484,-0.00094776,-0.00063382,0,1643716799999,0,720,0,0,0
1643716800000,-0.00089138,0.00026590,-0.00116192,-0.00044031,0,1643720399999,0,720,0,0,0
1643720400000,-0.00079528,0.00039060,-0.00160308,-0.00099566,0,1643723999999,0,720,0,0,0
1643724000000,-0.00073539,0.00046152,-0.00203525,-0.00037462,0,1643727599999,0,720,0,0,0
1643727600000,-0.00029231,0.00053142,-0.00139787,-0.00028496,0,1643731199999,0,720,0,0,0
1643731200000,-0.00042069,0.00013040,-0.00124443,-0.00082117,0,1643734799999,0,720,0,0,0
1643734800000,-0.00099275,0.00005657,-0.00144795,-0.00057338,0,1643738399999,0,720,0,0,0
1643738400000,-0.00060766,0.00000849,-0.00099456,-0.00008968,0,1643741999999,0,720,0,0,0
1643742000000,-0.00018106,0.00055336,-0.00205709,-0.00066101,0,1643745599999,0,720,0,0,0
1643745600000,-0.00059530,0.00000241,-0.00131431,-0.00070284,0,1643749199999,0,720,0,0,0
1643749200000,-0.00055938,0.00024363,-0.00101811,-0.00061033,0,1643752799999,0,720,0,0,0
1643752800000,-0.00061107,0.00017932,-0.00127779,-0.00043240,0,1643756399999,0,720,0,0,0
1643756400000,-0.00040073,0.00001980,-0.00097964,-0.00042612,0,1643759999999,0,720,0,0,0
1643760000000,-0.00054164,0.00015268,-0.00127455,-0.00032603,0,1643763599999,0,720,0,0,0
1643763600000,-0.00039421,0.00015306,-0.00094557,-0.00030168,0,1643767199999,0,720,0,0,0
1643767200000,-0.00041013,0.00005826,-0.00102268,-0.00068938,0,1643770799999,0,720,0,0,0
1643770800000,-0.00058082,0.00035803,-0.00107052,-0.00034985,0,1643774399999,0,720,0,0,0
1643774400000,-0.00037411,0.00029551,-0.00099031,-0.00042099,0,1643777999999,0,720,0,0,0
1643778000000,-0.00032512,0.00018863,-0.00074052,-0.00014015,0,1643781599999,0,720,0,0,0
1643781600000,-0.00019395,0.00051924,-0.00090798,-0.00046224,0,1643785199999,0,720,0,0,0
1643785200000,-0.00043898,0.00005613,-0.00092158,0.00005613,0,1643788799999,0,720,0,0,0
1643788800000,-0.00009763,0.00023473,-0.00083500,-0.00045335,0,1643792399999,0,720,0,0,0
1643792400000,-0.00050233,-0.00012891,-0.00103572,-0.00065803,0,1643795999999,0,720,0,0,0
