open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1664582400000,-0.00052149,-0.00007826,-0.00140874,-0.00035575,0,1664585999999,0,720,0,0,0
1664586000000,-0.00039983,-0.00002548,-0.00074149,-0.00054662,0,1664589599999,0,720,0,0,0
1664589600000,-0.00049616,-0.00013212,-0.00102265,-0.00050994,0,1664593199999,0,720,0,0,0
1664593200000,-0.00050497,0.00005568,-0.00084208,-0.00034983,0,1664596799999,0,720,0,0,0
1664596800000,-0.00036785,0.00022135,-0.00067768,-0.00055611,0,1664600399999,0,720,0,0,0
1664600400000,-0.00051803,0.00004771,-0.00105250,-0.00036869,0,1664603999999,0,720,0,0,0
1664604000000,-0.00036765,0.00010395,-0.00065834,-0.00032867,0,1664607599999,0,720,0,0,0
1664607600000,-0.00027037,0.00008279,-0.00076579,-0.00028244,0,1664611199999,0,720,0,0,0
1664611200000,-0.00025591,0.00017116,-0.00064540,-0.00018305,0,1664614799999,0,720,0,0,0
1664614800000,-0.00019874,0.00013883,-0.00066489,-0.00027460,0,1664618399999,0,720,0,0,0
1664618400000,-0.00024603,-0.00003685,-0.00060642,-0.00035842,0,1664621999999,0,720,0,0,0
1664622000000,-0.00036353,0.00010214,-0.00249912,-0.00042537,0,1664625599999,0,720,0,0,0
1664625600000,-0.00044081,0.00000538,-0.00105548,-0.00033264,0,1664629199999,0,720,0,0,0
1664629200000,-0.00034041,0.00008637,-0.00092183,-0.00042121,0,1664632799999,0,720,0,0,0
1664632800000,-0.00046136,-0.00015663,-0.00109644,-0.00060944,0,1664636399999,0,720,0,0,0
1664636400000,-0.00056223,0.00006436,-0.00072521,-0.00031481,0,1664639999999,0,720,0,0,0
1664640000000,-0.00039696,-0.00003466,-0.00106547,-0.00031644,0,1664643599999,0,720,0,0,0
1664643600000,-0.00030719,-0.00010007,-0.00092803,-0.00052303,0,1664647199999,0,720,0,0,0
1664647200000,-0.00054793,-0.00008025,-0.00083166,-0.00034130,0,1664650799999,0,720,0,0,0
1664650800000,-0.00048191,0.00012182,-0.00147935,-0.00047828,0,1664654399999,0,720,0,0,0
1664654400000,-0.00050761,0.00002486,-0.00081623,-0.00042165,0,1664657999999,0,720,0,0,0
1664658000000,-0.00040537,0.00013602,-0.00072978,-0.00027771,0,1664661599999,0,720,0,0,0
1664661600000,-0.00030100,0.00001472,-0.00090184,-0.00053971,0,1664665199999,0,720,0,0,0
1664665200000,-0.00052587,-0.00021738,-0.00078797,-0.00039401,0,1664668799999,0,720,0,0,0
1664755200000,-0.00033686,0.00036434,-0.00137758,-0.00021663,0,1664758799999,0,720,0,0,0
1664758800000,-0.00030179,0.00053233,-0.00129602,-0.00058598,0,1664762399999,0,720,0,0,0
1664762400000,-0.00061945,-0.00008557,-0.00135694,-0.00043627,0,1664765999999,0,720,0,0,0
1664766000000,-0.00043720,0.00000716,-0.00088971,-0.00043970,0,1664769599999,0,720,0,0,0
1664769600000,-0.00045992,-0.00002361,-0.00094672,-0.00044281,0,1664773199999,0,720,0,0,0
1664773200000,-0.00037262,0.00024051,-0.00115950,-0.00038803,0,1664776799999,0,720,0,0,0
1664776800000,-0.00051792,0.00041971,-0.00102709,-0.00048158,0,1664780399999,0,720,0,0,0
1664780400000,-0.00044399,0.00013967,-0.00105143,-0.00036607,0,1664783999999,0,720,0,0,0
1664784000000,-0.00042210,-0.00003246,-0.00082239,-0.00034823,0,1664787599999,0,720,0,0,0
1664787600000,-0.00034626,-0.00006813,-0.00075477,-0.00023004,0,1664791199999,0,720,0,0,0
1664791200000,-0.00029111,0.00016384,-0.00078101,-0.00046227,0,1664794799999,0,720,0,0,0
1664794800000,-0.00028824,0.00006527,-0.00076755,-0.00013746,0,1664798399999,0,720,0,0,0
1664798400000,-0.00038387,0.00020239,-0.00084142,-0.00028956,0,1664801999999,0,720,0,0,0
1664802000000,-0.00033018,0.00047785,-0.00116644,-0.00014721,0,1664805599999,0,720,0,0,0
1664805600000,-0.00007901,0.00052281,-0.00126142,-0.00060653,0,1664809199999,0,720,0,0,0
1664809200000,-0.00057581,0.00040788,-0.00095167,-0.00027517,0,1664812799999,0,720,0,0,0
1664812800000,-0.00032702,0.00052653,-0.00079389,-0.00020967,0,1664816399999,0,720,0,0,0
1664816400000,-0.00020955,0.00153057,-0.00073948,-0.00021226,0,1664819999999,0,720,0,0,0
1664820000000,-0.00026119,0.00032820,-0.00074687,-0.00041367,0,1664823599999,0,720,0,0,0
1664823600000,-0.00052636,0.00026623,-0.00111142,-0.00013216,0,1664827199999,0,720,0,0,0
1664827200000,0.00016497,0.00017517,-0.00115275,-0.00028130,0,1664830799999,0,720,0,0,0
1664830800000,-0.00032136,-0.00000368,-0.00081076,-0.00026550,0,1664834399999,0,720,0,0,0
1664834400000,-0.00008540,0.00029996,-0.00089932,-0.00025669,0,1664837999999,0,720,0,0,0
