timestamp,sma_50
1579134300000.0,8609.0236
1579137900000.0,8620.3536
1579141800000.0,8631.5728
1579147500000.0,8644.0336
1579155600000.0,8656.5946
1579163100000.0,8666.3886
1579169400000.0,8677.5754
1579175100000.0,8686.736
1579178700000.0,8693.5062
1579182900000.0,8698.8588
1579189200000.0,8704.011
1579194300000.0,8707.3186
1579202100000.0,8710.4998
1579209900000.0,8714.0262
1579221300000.0,8718.658
1579229700000.0,8724.2046
1579233900000.0,8731.495
1579240200000.0,8739.852
1579242000000.0,8744.4212
1579244700000.0,8750.6254
1579248900000.0,8756.4858
1579253400000.0,8764.109
1579256700000.0,8769.9728
1579261800000.0,8772.6536
1579264200000.0,8773.4796
1579270200000.0,8773.9392
1579275300000.0,8776.6714
1579280100000.0,8780.886
1579286400000.0,8782.2708
1579290900000.0,8785.6692
1579298700000.0,8787.5452
1579307100000.0,8790.2042
1579313700000.0,8792.2692
1579323000000.0,8796.83
1579331100000.0,8802.4092
1579340100000.0,8806.666
1579350600000.0,8812.2658
1579358700000.0,8815.8686
1579364400000.0,8818.3942
1579371000000.0,8821.6424
1579385400000.0,8822.3988
1579393500000.0,8827.2822
1579395900000.0,8833.5096
1579397700000.0,8840.9962
1579400700000.0,8847.8552
1579407000000.0,8854.0204
1579416600000.0,8860.5386
1579422900000.0,8865.0932
1579431300000.0,8862.0108
1579431900000.0,8860.4782
1579432800000.0,8861.0614
1579434900000.0,8860.1774
1579437300000.0,8860.3982
1579441800000.0,8859.5754
1579449900000.0,8858.2672
1579459500000.0,8860.4464
1579469400000.0,8858.301
1579472400000.0,8856.6892
1579476000000.0,8856.5364
1579481100000.0,8855.8644
1579488900000.0,8856.1846
1579501200000.0,8855.4986
1579512000000.0,8853.8456
1579523100000.0,8851.0566
1579527000000.0,8848.6974
1579531500000.0,8845.9744
1579537800000.0,8841.938
1579552800000.0,8836.0394
1579561200000.0,8831.2102
1579566300000.0,8825.079
1579583400000.0,8818.7132
1579597200000.0,8812.8182
1579610700000.0,8807.4594
1579627500000.0,8801.6692
1579635900000.0,8798.171
1579637400000.0,8795.564
1579639500000.0,8792.2948
1579642800000.0,8789.2568
1579653300000.0,8786.8994
1579675500000.0,8783.042
1579679100000.0,8777.499
1579683900000.0,8772.2048
1579692300000.0,8768.1282
1579703400000.0,8764.6606
1579712100000.0,8759.775
1579721100000.0,8754.8074
1579741800000.0,8748.1622
1579748700000.0,8740.6616
1579758000000.0,8734.5096
1579764600000.0,8726.133
1579770000000.0,8716.7924
1579773300000.0,8704.6622
1579778400000.0,8691.2194
1579781700000.0,8676.1144
1579786200000.0,8660.6402
1579790100000.0,8645.8368
1579797900000.0,8630.7
1579804200000.0,8618.016
1579814700000.0,8612.3334
1579824000000.0,8604.8438
1579834800000.0,8597.534
1579845300000.0,8591.3352
1579858200000.0,8583.5698
1579863300000.0,8577.99
1579866000000.0,8573.4516
1579869300000.0,8567.7232
1579875600000.0,8565.621
1579879800000.0,8561.718
1579885800000.0,8558.1232
1579896000000.0,8554.0946
1579903800000.0,8547.8268
1579912500000.0,8540.0046
1579917300000.0,8534.2324
1579926900000.0,8529.3344
1579939200000.0,8522.8832
1579950000000.0,8516.3396
1579962300000.0,8509.9616
1579980600000.0,8505.0156
1579991400000.0,8498.448
1579999500000.0,8492.6726
1580016900000.0,8487.4792
1580026800000.0,8482.6086
1580031000000.0,8478.8104
1580039700000.0,8477.1104
1580051400000.0,8475.492
1580058600000.0,8472.9948
1580064600000.0,8470.3314
1580071200000.0,8467.212
1580082900000.0,8465.4166
1580085600000.0,8463.864
1580094900000.0,8463.5118
1580107200000.0,8462.5542
1580115900000.0,8463.0426
1580125800000.0,8463.7694
1580127000000.0,8465.9544
1580132100000.0,8468.4852
1580137800000.0,8472.0842
1580142300000.0,8477.1676
1580151300000.0,8484.1176
1580153100000.0,8492.493
1580155200000.0,8502.3824
1580159700000.0,8511.6412
1580166600000.0,8523.275
1580172000000.0,8537.508
1580173800000.0,8552.7094
1580177700000.0,8568.0114
1580185800000.0,8581.092
1580189400000.0,8593.4928
1580194200000.0,8605.3928
1580200500000.0,8618.5486
1580205900000.0,8633.6384
1580210700000.0,8647.9712
1580214900000.0,8666.0494
1580220900000.0,8680.792
1580222700000.0,8692.8846
1580223900000.0,8704.0332
1580227500000.0,8713.07
1580232000000.0,8724.048
1580235600000.0,8735.5044
1580242500000.0,8748.0276
1580248500000.0,8763.7958
1580253600000.0,8785.7152
1580254800000.0,8807.4388
1580256000000.0,8828.5556
1580258100000.0,8848.9648
1580261100000.0,8869.1626
1580266500000.0,8888.9922
1580274300000.0,8907.8468
1580282700000.0,8928.3754
1580291700000.0,8948.1152
1580294100000.0,8966.2128
1580296200000.0,8984.3122
1580299200000.0,9001.0638
1580304600000.0,9017.569
1580312700000.0,9033.484
1580319000000.0,9049.8026
1580327100000.0,9064.9712
1580333100000.0,9079.2806
1580342100000.0,9091.6614
1580345700000.0,9105.5228
1580357700000.0,9120.0
1580369400000.0,9135.0034
1580375400000.0,9148.5368
1580384400000.0,9161.8908
1580391900000.0,9173.8356
1580395500000.0,9187.1448
1580401500000.0,9197.23
1580402100000.0,9209.289
1580403900000.0,9220.0662
1580405100000.0,9230.6362
1580406300000.0,9241.646
1580410200000.0,9254.0338
1580415600000.0,9264.2586
1580418600000.0,9272.162
1580427600000.0,9279.6778
1580433300000.0,9286.1362
1580438400000.0,9294.6568
1580446500000.0,9300.6932
1580450700000.0,9307.7442
1580458200000.0,9316.2282
1580467200000.0,9321.2888
1580470500000.0,9326.5682
1580475300000.0,9328.9446
1580479200000.0,9333.4888
1580486400000.0,9339.4422
1580491800000.0,9346.1222
1580502000000.0,9355.8036
1580511000000.0,9363.1442
1580517600000.0,9370.808
1580523600000.0,9378.0478
1580530800000.0,9383.994
1580541600000.0,9384.0388
1580548800000.0,9383.2346
1580557200000.0,9383.1022
1580563500000.0,9383.5734
1580571600000.0,9384.984
1580578200000.0,9385.7914
1580592300000.0,9386.0318
1580604300000.0,9384.3742
1580610900000.0,9381.5272
1580616600000.0,9381.9222
