timestamp,btc_long_liquidations
1577750400000.0,10074.98
1577763600000.0,9702.91
1577787300000.0,11014.49
1577803800000.0,57586.76
1577806200000.0,38505.12
1577814900000.0,10057.51
1577830800000.0,10062.78
1577849100000.0,4568.88
1577877900000.0,10018.44
1577894400000.0,19678.91
1577919300000.0,43843.36
1577936700000.0,20304.11
1577949900000.0,10006.16
1577960400000.0,25455.02
1577973600000.0,57544.04
1577983800000.0,69436.72
1577985300000.0,10371.23
1577993400000.0,15960.17
1578011700000.0,16381.97
1578018300000.0,10211.01
1578025800000.0,14259.06
1578027000000.0,2132.92
1578031500000.0,10440.08
1578040800000.0,10163.67
1578042900000.0,10634.8
1578047100000.0,10108.54
1578054300000.0,49563.48
1578060600000.0,10498.71
1578067500000.0,10609.64
1578070200000.0,13298.58
1578077700000.0,21763.55
1578085800000.0,10346.61
1578094500000.0,10002.59
1578112200000.0,10171.66
1578127200000.0,21399.99
1578141300000.0,15324.89
1578156300000.0,140.35
1578163800000.0,10089.86
1578169500000.0,10006.59
1578185100000.0,10456.87
1578188100000.0,10085.31
1578195600000.0,2271.39
1578208500000.0,17561.36
1578218400000.0,10196.9
1578231600000.0,10042.08
1578244200000.0,48167.53
1578260100000.0,21453.39
1578267300000.0,10596.77
1578276300000.0,10311.21
1578279300000.0,10389.24
1578282000000.0,6323.35
1578291900000.0,10295.48
1578305700000.0,10067.85
1578315300000.0,21909.44
1578319500000.0,10104.06
1578327900000.0,10086.06
1578344400000.0,10109.31
1578349500000.0,10146.96
1578351000000.0,416.95
1578353400000.0,10160.08
1578355800000.0,13762.95
1578357300000.0,65426.81
1578358800000.0,10181.03
1578363600000.0,28439.44
1578371700000.0,10269.11
1578380700000.0,9161.58
1578391800000.0,11437.72
1578398400000.0,40010.82
1578402300000.0,10140.13
1578408600000.0,68626.87
1578412500000.0,10763.94
1578414600000.0,10669.66
1578417300000.0,10002.2
1578421200000.0,11483.14
1578422400000.0,1803.64
1578424800000.0,10145.39
1578429300000.0,10214.98
1578431700000.0,67316.65
1578434100000.0,10516.26
1578437100000.0,11401.69
1578441000000.0,15258.37
1578442500000.0,11288.51
1578444300000.0,12196.81
1578445500000.0,10216.93
1578447900000.0,10613.77
1578450900000.0,69202.04
1578453900000.0,10055.89
1578459000000.0,10133.9
1578465900000.0,12971.91
1578472500000.0,10283.18
1578479400000.0,22754.14
1578488100000.0,12843.8
1578490500000.0,107286.96
1578492900000.0,10378.55
1578496200000.0,1143.18
1578499500000.0,38812.21
1578501300000.0,112765.54
1578501900000.0,10143.68
1578503400000.0,2223.26
1578505500000.0,25889.96
1578511800000.0,79149.67
1578514200000.0,10913.82
1578516600000.0,10264.36
1578521100000.0,10149.72
1578527700000.0,53769.14
1578531600000.0,10033.71
1578541200000.0,34117.18
